UserID,Username,CuisineType,DietType,IngredientList,Protein,Carbohydrates,Fats,Fiber,Sugars,Saturated Fats,Trans Fats,Omega-3,Omega-6,Cholesterol,Calcium,Iron,Magnesium,Potassium,Sodium,Zinc,Vitamin C,Vitamin D,Vitamin B12,Folate,RecipeName,Instructions,HealthInfo,PreparationTimeMinutes,ConditionTag,Flavor Profile,Estimated Cost (USD)
1,User16,Thai,Paleo,"garlic, Lentils (1 cup); Tofu (150g); Fish (250g); Bread (2 slices); Butter (1 tbsp); Rice (1 cup); Cheese (50g), salt, green chili",94.32,6.64,88.31,55.07,28.82,33.29,45.79,67.21,91.67,66.43,1.52,32.06,92.98,30.27,94.7,70.38,69.45,4.35,24.43,99.54,Beef Quinoa Power Bowl (Express Edition),"To make Beef Quinoa Power Bowl, mix Lentils, Tofu, Fish, Bread, Butter, Rice, Cheese, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Muscle Building due to high protein. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Avoid in Weight Loss Diet due to fat content.,20,Heart Disease,Spicy,2.69
78,User17,French,Balanced,"mint, soy sauce, Rice (1 cup); Cheese (50g); Avocado (1 piece); Nuts (30g); Fish (250g); Lentils (1 cup), green chili",75.38,96.63,84.15,98.43,90.98,37.33,63.25,36.58,29.01,58.89,49.81,71.86,12.84,78,45.25,33.05,1.64,74.66,96.27,55.64,Healthy Chicken Bowl,"To make Healthy Chicken Bowl, mix Rice, Cheese, Avocado, Nuts, Fish, Lentils, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Muscle Building due to high protein. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats.,16,Heart Disease,Spicy,3
13,User18,Italian,Low-Carb,"Potatoes (2 pieces); Chicken (200g); Cheese (50g); Lentils (1 cup); Butter (1 tbsp), garlic, tomato, green chili, lemon juice",18.82,14.86,36.36,15.77,3.31,39.14,89.26,73.88,11.65,10.29,7.21,76.11,39.16,6.8,71.42,52.85,98.53,53.25,12.13,9.29,Vegan Delight,"To make Vegan Delight, mix Potatoes, Chicken, Cheese, Lentils, Butter, cook for 30 mins.",Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Boosts Immunity due to high Vitamin C. (NIH),15,Heart Disease,Spicy,2.65
58,User19,Mexican,Vegan,"Nuts (30g); Fish (250g); Lentils (1 cup); Cheese (50g); Chicken (200g); Potatoes (2 pieces); Butter (1 tbsp); Avocado (1 piece), garlic, soy sauce, olive oil, chili flakes",72.15,24.3,86.47,88.34,95.55,33.1,43.75,30.88,15.46,55,69.52,91.23,4.79,30.89,55.77,63.9,32.02,88.2,68.52,95.82,Vegan Delight,"To make Vegan Delight, mix Nuts, Fish, Lentils, Cheese, Chicken, Potatoes, Butter, Avocado, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Muscle Building due to high protein. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats.,21,Heart Disease,Spicy,2.62
56,User20,American,Low-Carb,"olive oil, chili flakes, Fish (250g); Quinoa (1 cup); Chicken (200g); Butter (1 tbsp); Rice (1 cup); Olive Oil (2 tbsp); Pasta (1 cup); Tofu (150g), salt, cumin, lemon juice",4.74,68.66,30.94,64.51,30.26,82.28,64.04,74.76,84.71,35.48,53.06,13.08,44.63,1.85,84.26,72.45,71.86,22.54,46,95.31,Beef Quinoa Power Bowl (Express Edition),"To make Beef Quinoa Power Bowl, mix Fish, Quinoa, Chicken, Butter, Rice, Olive Oil, Pasta, Tofu, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Avoid in Weight Loss Diet due to fat content.,20,Heart Disease,Spicy,3.88
53,User21,Mexican,Gluten-Free,"Quinoa (1 cup); Butter (1 tbsp); Rice (1 cup); Pasta (1 cup); Beef (200g), ginger, soy sauce, olive oil",50.7,49.23,84.22,67.18,7.63,78.28,27.33,61.58,54.75,18.36,17.23,5.16,84.53,35.78,25.85,53.54,78.91,80.1,91.83,28.67,Beef Quinoa Power Bowl (Home Chef Special),"To make Beef Quinoa Power Bowl, mix Quinoa, Butter, Rice, Pasta, Beef, cook for 30 mins.",Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Boosts Immunity due to high Vitamin C. (NIH),19,Heart Disease,Savory,2.8
80,User22,French,Keto,"capsicum, garlic, soy sauce, ginger, Quinoa (1 cup); Avocado (1 piece); Butter (1 tbsp); Rice (1 cup); Chicken (200g); Beef (200g); Nuts (30g)",48.14,74.69,23.85,83.52,62.74,26.83,56.44,74.79,26.02,53.04,1.73,96.52,95.86,24.44,53.32,73.79,73,12.48,93.44,64.02,Spicy Lentil Curry,"To make Spicy Lentil Curry, mix Quinoa, Avocado, Butter, Rice, Chicken, Beef, Nuts, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats.,19,Heart Disease,Savory,2.98
77,User23,Japanese,Balanced,"black pepper, salt, cumin, Rice (1 cup); Lentils (1 cup); Cheese (50g); Butter (1 tbsp); Olive Oil (2 tbsp); Avocado (1 piece); Bread (2 slices), lemon juice",92.97,98.37,39.6,79.81,74.69,52.72,14.47,83.19,21.38,97.45,41.22,2.3,62.65,45.66,24.21,95.05,55.18,77.73,82.29,35.74,Avocado Pasta,"To make Avocado Pasta, mix Rice, Lentils, Cheese, Butter, Olive Oil, Avocado, Bread, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Muscle Building due to high protein. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats.,21,Heart Disease,Spicy,3.14
39,User24,Chinese,Keto,"tomato, ginger, coriander, green chili, cumin, Beef (200g); Nuts (30g); Tofu (150g); Chicken (200g); Quinoa (1 cup); Pasta (1 cup)",27.94,99.31,24.84,59.4,65.81,57.87,6.91,38.9,0.6,68.71,46.51,54.83,62.91,43.27,76.4,46.71,90.24,23.63,63.32,6.79,Avocado Pasta (Home Chef Special),"To make Avocado Pasta, mix Beef, Nuts, Tofu, Chicken, Quinoa, Pasta, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Boosts Immunity due to high Vitamin C. (NIH),19,Heart Disease,Spicy,3.71
99,User25,Chinese,Vegan,"Potatoes (2 pieces); Quinoa (1 cup); Olive Oil (2 tbsp); Rice (1 cup); Cheese (50g); Avocado (1 piece); Chicken (200g), ginger, black pepper, green chili, onion, yogurt",72.11,44.85,35.68,40.5,75.08,25.15,47.93,62.49,37.62,51.88,86.96,7.97,80.89,55.4,94.29,23.85,30.14,41.77,37.36,55.89,Avocado Pasta,"To make Avocado Pasta, mix Potatoes, Quinoa, Olive Oil, Rice, Cheese, Avocado, Chicken, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Supports Muscle Building due to high protein. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Good for Skin and Hair Health due to healthy fats.,20,Heart Disease,Spicy,3.05
82,User26,Mexican,Vegan,"Tofu (150g); Lentils (1 cup); Nuts (30g); Chicken (200g); Pasta (1 cup); Butter (1 tbsp), garlic, olive oil, yogurt",36.65,5.99,40.17,54.78,55.92,85.85,67.28,11.09,52.45,97.76,27.12,44.52,21.08,22.56,69.09,2.57,17.69,45.2,41.24,74.39,Vegan Delight (Home Chef Special),"To make Vegan Delight, mix Tofu, Lentils, Nuts, Chicken, Pasta, Butter, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Avoid in Weight Loss Diet due to fat content.,16,Heart Disease,Sour,2.51
69,User27,French,Paleo,"Avocado (1 piece); Butter (1 tbsp); Rice (1 cup); Quinoa (1 cup); Nuts (30g); Bread (2 slices); Olive Oil (2 tbsp), lemon juice, black pepper, turmeric",45.59,68.35,91.11,78.85,56.86,11.74,16.15,78.05,8.85,37.06,75.23,60.24,37.96,7.12,78.69,64.62,89.31,94.11,69.82,87.06,Vegan Delight (Express Edition),"To make Vegan Delight, mix Avocado, Butter, Rice, Quinoa, Nuts, Bread, Olive Oil, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats. Boosts Immunity due to high Vitamin C. (NIH),16,Heart Disease,Spicy,2.79
6,User28,Japanese,High-Protein,"Chicken (200g); Pasta (1 cup); Olive Oil (2 tbsp); Cheese (50g); Butter (1 tbsp); Beef (200g); Bread (2 slices), capsicum, olive oil, tomato, ginger",47.61,59.23,55.4,42.15,25.06,78.95,96.87,6.09,8.6,99.9,23.25,70.15,80.89,91.93,37.56,85.61,66.61,46.61,7.38,66.87,Spicy Lentil Curry,"To make Spicy Lentil Curry, mix Chicken, Pasta, Olive Oil, Cheese, Butter, Beef, Bread, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content.,19,Heart Disease,Neutral,3.42
97,User29,Mexican,Vegetarian,"Tofu (150g); Quinoa (1 cup); Bread (2 slices); Rice (1 cup); Fish (250g), salt, garlic, butter",74.37,6.22,45.89,24.61,26.27,96.9,68.24,81.64,56.85,44.13,54.07,52.59,34,20.35,22.74,96.64,65.07,17.65,90.68,41.12,Vegan Delight,"To make Vegan Delight, mix Tofu, Quinoa, Bread, Rice, Fish, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Muscle Building due to high protein. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO),19,Heart Disease,Bland,2.2
67,User30,French,Low-Carb,"mint, green chili, chili flakes, lemon juice, Rice (1 cup); Nuts (30g); Beef (200g); Cheese (50g); Quinoa (1 cup); Tofu (150g)",48,77.62,2.04,25.27,39.42,72.03,60.62,13.69,71.98,40.33,54.11,7.64,46.63,42.19,92.39,9.95,21.14,55.69,90.79,66.55,Avocado Pasta (Express Edition),"To make Avocado Pasta, mix Rice, Nuts, Beef, Cheese, Quinoa, Tofu, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO),14,Heart Disease,Spicy,3.38
